ACRONYM,AGENCYNAME,DATASETNAME,DATAOWNER,DATASETCATEGORYNAME,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETTYPENAME,EARLIESTDATEOFRECORDS,EDI_ID,PUBLICINTERESTNAME,KEYWORDS,UPDATEINTERVALNAME,OPENDATA_PORTAL
DPR,Department of Parks and Recreation,Mobile Technology Inventory,IT Division,Utility and Communication,Level 0,,Database,00:00.0,2367,Occasional Requests,"recreation, technology, communication",Yearly,False
DPR,Department of Parks and Recreation,Fleet Inventory,Support Services Division,Transportation,Level 0,,Database,00:00.0,2368,Occasional Requests,"recreation, transportation, inventory",Yearly,False
DPW,Department of Public Works,Conventional Recycling Days,DPW,Environment,Level 0,,Database,,3060,Frequent Requests,environment,Static,True
DPW,Department of Public Works,Leaf Collection Streets,DPW,Environment,Level 0,,Database,,3061,Frequent Requests,environment,Yearly,True
DPW,Department of Public Works,Conventional Trash Days,DPW,Government Operations,Level 0,,Database,,3026,Frequent Requests,"environment, health ",Yearly,True
DPW,Department of Public Works,Points of Service,DPW SWMA,Public Services,Level 0,GIS layer on open data. ,Geographic Information,,2817,Occasional Requests,"public service, GIS",Yearly,False
DPW,Department of Public Works,Littercan Locations,DPW SWMA,Government Operations,Level 0,,Geographic Information,,2818,Occasional Requests,government operations,Yearly,False
DPW,Department of Public Works,Leaf Collection Boundaries,DPW SWMA,Administrative and Other Boundaries,Level 0,on open data,Geographic Information,,2819,Occasional Requests,boundaries,Yearly,False
DPW,Department of Public Works,Parking Beats,DPW PEMA,Administrative and Other Boundaries,Level 0,not proactively released,Geographic Information,,2820,Occasional Requests,"boundaries, parking",Static,False
DPW,Department of Public Works,Residential Recycling Routes,DPW SWMA,Administrative and Other Boundaries,Level 0,,Geographic Information,,2821,Occasional Requests,boundaries,Yearly,False
DPW,Department of Public Works,Residential Trash Routes,DPW SWMA,Administrative and Other Boundaries,Level 0,,Geographic Information,,2822,Occasional Requests,boundaries,Yearly,False
DPW,Department of Public Works,Street and Alley Cleaning Routes,DPW SWMA,Administrative and Other Boundaries,Level 0,,Geographic Information,,2823,Occasional Requests,boundaries,Static,False
DPW,Department of Public Works,Trash/Recycling Day Boundaries,DPW SWMA,Administrative and Other Boundaries,Level 0,,Geographic Information,,2824,Occasional Requests,"boundaries, trash",Static,False
DPW,Department of Public Works,Snow Removal Areas,DPW,Transportation,Level 0,,Database,,3357,Frequent Request,"snow areas, residential snow areas (RSA), Light Plow Routes (LPR)",Yearly,True
DPW,Department of Public Works,Supercan Trash Collection Areas,DPW,Government Operations,Level 0,,Database,,3361,Frequent Request,"Washington DC, DC GIS, District of Columbia, Public, Service, Public Service, trash, supercan, dpw, clean, collection, recycle",Yearly,True
DPW,Department of Public Works,Litter Cans,DPW,Public Services,Level 0,,Database,,3275,Frequent Requests,public Services,Yearly,True
DPW,Department of Public Works,New Supercan Days,DPW,Public Services,Level 0,,Database,,3276,Frequent Requests,public Services,Yearly,True
DPW,Department of Public Works,Abandoned Vehicle Inspection Area,DPW,Administrative and Other Boundaries,Level 0,,Database,,3277,Frequent Requests,boundaries,Yearly,True
DSLBD,Department of Small and Local Business Development,Clean Teams Service Areas,DSLBD,Business and Economic Development,Level 0,Open data.,Geographic Information,00:00.0,3434,Occasional Requests,"DSLBD, planning, environment, business",No Info,True
DSLBD,Department of Small and Local Business Development,DC Main Street Corridors,OP,Transportation,Level 0,,Database,,3153,Frequent Requests,transportation,Yearly,True
DYRS,Department of Youth Rehabilitation Services,Youth Rehabilitation Facilities,DYRS,Public Safety,Level 0,,Database,,2987,Frequent Request,"economy, shelter, youth, group home, society, facility, rehabilitation",Yearly,True
DMPED,Deputy Mayor for Planning and Economic Development,Real Estate Development Projects - Open,DMPED,Business and Economic Development,Level 0,,Database,,1786,Occasional Requests,"economy, economic development, real estate, project, dmped, land disposition, development, IRB",Weekly,True
DMPED,Deputy Mayor for Planning and Economic Development,Business Development CRM - Open,DMPED Business Development Division,Business and Economic Development,Level 0,,Other,,1749,Occasional Requests,"economy, CRM, business development, dmped",Real-Time/Near Real-Time,False
DMPED,Deputy Mayor for Planning and Economic Development,DC Affordable Housing Production & Preservation Tracker,"DMPED, DHCD, DCHA, DCHFA",Business and Economic Development,Level 0,,Database,00:00.0,1750,Occasional Requests,"economy, housing, affordable housing, inclusionary zoning, dmped, preservation, development",Monthly,False
DMPED,Deputy Mayor for Planning and Economic Development,DMPED Grants - Open,DMPED,Business and Economic Development,Level 0,The dataset omits personally identifiable information.,Other,00:00.0,1752,Occasional Requests,"economy, grant, grants, economic development, small businesses, business, community development",Real-Time/Near Real-Time,False
DMPED,Deputy Mayor for Planning and Economic Development,Real Estate Portfolio - DMPED,DMPED,Property and Land,Level 0,,Database,,3034,Frequent Requests,planningCadastre,Yearly,True
DMPED,Deputy Mayor for Planning and Economic Development,Industrial Revenue Bond - DMPED,DMPED,Public Services,Level 0,,Database,,3319,Frequent Requests,public Services,Yearly,True
DMPED,Deputy Mayor for Planning and Economic Development,Great Streets Corridors,DSLBD,Business and Economic Development,Level 0,,Database,,3323,Frequent Request,"great streets, economic development, society",Yearly,True
DMPED,Deputy Mayor for Planning and Economic Development,Affordable Housing - DMPED,DMPED,Public Services,Level 0,,Database,,3274,Frequent Requests,public Services,Yearly,True
DMPED,Deputy Mayor for Planning and Economic Development,Great Streets Grantees,DSLBD,Business and Economic Development,Level 0,,Database,,3279,Frequent Requests,economy,Static,True
DOEE,District Department of Energy and Environment,Green Buildings (LEED),DOEE,Environment,Level 0,,Database,,3324,Frequent Requests,"Green, green building, energy, star, LEED, environmental, energy efficient, environment ",Yearly,True
DOEE,District Department of Energy and Environment,Storm Surge Risk Areas,DOEE,Environment,Level 0,,Database,,3359,Frequent Requests," Storm Surge Inundation,  Storm Surge, Open Data, ",Yearly,True
DOEE,District Department of Energy and Environment,Leaking Underground Storage Tanks,DOEE,Environment,Level 0,,Database,,3333,Frequent Request,"Underground, society, environment, facility, utilities communication, tank",Yearly,True
DOEE,District Department of Energy and Environment,Asbestos Contractors,DOEE,Environment,Level 0,___,Database,00:00.0,3426,Unknown,"environment, asbestos, contractor",Daily,False
DOEE,District Department of Energy and Environment,Approved Asbestos Permits,DOEE,Environment,Level 0,___,Database,00:00.0,3427,Unknown,"environment, asbestos, permit",Daily,False
DOEE,District Department of Energy and Environment,Asbestos Notifications(Jobs),DOEE,Environment,Level 0,___,Database,00:00.0,3424,Unknown,"environment, asbestos, contractor",Daily,False
DOEE,District Department of Energy and Environment,DOEE Tip/Complaint Enforcement Actions,DOEE,Environment,Level 0,___,Database,00:00.0,3417,No Info,"environment, doee, complaint, enforcement, Justice, Air Quality, Coal Tar, Bag, Styrofoam Ban, Lead, Energy Benchmarking, Fisheries and Wildlife, Watershed Protection, Water Quality",Daily,False
DOEE,District Department of Energy and Environment,CSO and MS4 Storm Sewer Systems Border,DOEE,Government Operations,Level 0,,Database,,3027,Frequent Request,"Environment, Stormwater, drainage area, MS4, Sewershed, outfall",Yearly,True
DOEE,District Department of Energy and Environment,Best Management Practices,DOEE,Environment,Level 0,,Database,,3040,Frequent Requests,environment,Weekly,True
DOEE,District Department of Energy and Environment,Combined Sewer Outfall (CSO) - Sewer Shed,DOEE,Environment,Level 0,,Database,,3041,Frequent Requests,environment,Yearly,True
DOEE,District Department of Energy and Environment,Green Sites or Resources,DOEE,Environment,Level 0,,Database,,3042,Frequent Requests,environment,Yearly,True
DOEE,District Department of Energy and Environment,Municipal Separate Storm Sewer Systems (MS4) - Sewer Shed,DOEE,Environment,Level 0,,Database,,3043,Frequent Requests,environment,Yearly,True
DOEE,District Department of Energy and Environment,LEED Sites,DOEE,Environment,Level 0,,Database,,3044,Frequent Requests,environment,Static,True
DOEE,District Department of Energy and Environment,Marinas,DOEE,Recreation,Level 0,,Database,,3045,Frequent Requests,society,Static,True
DOEE,District Department of Energy and Environment,Private Building Energy and Water Performance Benchmarking,DOEE,Aerial Photography and Scanned Maps,Level 0,,Database,,3046,Frequent Requests,imageryBaseMapsEarthCover,Static,True
DOEE,District Department of Energy and Environment,Storm Drains,DOEE,Environment,Level 0,,Database,,3047,Frequent Requests,environment,Static,True
DOEE,District Department of Energy and Environment,Building Benchmark Energy data,DOEE,Environment,Level 0,,Database,,3048,Frequent Requests,environment,Static,True
DOEE,District Department of Energy and Environment,Watershed,DOEE,Environment,Level 0,,Database,,3049,Frequent Requests,environment,Static,True
DOEE,District Department of Energy and Environment,Underground Storage Tanks,DOEE,Facility and Structure,Level 0,,Database,,3050,Frequent Requests,structure,Yearly,True
DOEE,District Department of Energy and Environment,DC Well Permits,DOEE,Environment,Level 0,,Database,,3051,Frequent Requests,environment,Weekly,True
DOEE,District Department of Energy and Environment,Chesapeake Bay Watersheds,DOEE,Environment,Level 0,,Database,,3015,Frequent Request," hydrography, environment, watershed, river",Yearly,True
DOEE,District Department of Energy and Environment,Community Rating System Special Flood Hazard Areas,OCTO,Environment,Level 0,,Database,,3023,Frequent Request,"Riverine Flooding, Base flood elevation, hydrology, SFHA, DFIRM, Transportation, Elevation, NFIP, Structure, Floodway, , FEMA Flood Hazard Zone , Flood Insurance Rate map, Special Flood Area, Inland Waters, Environment, Digital Flood Insurance Rate M",Yearly,True
DOEE,District Department of Energy and Environment,Stormwater Offsite Retention,Stormwater Management Division,Environment,Level 0,,Database,00:00.0,2801,Unknown,"environment, stormwater, offsite, retention, credit",Real-Time/Near Real-Time,False
DOEE,District Department of Energy and Environment,Bag Distributions,Stormwater Management Division,Environment,Level 0,,Database,00:00.0,1815,Unknown,"environment, reusable, bag, distribution",Daily,False
DDOT,District Department of Transportation,Urban Tree Canopy at Ward Level,DDOT,Environment,Level 0,,Database,,2432,Frequent Requests,environment,No Info,True
DDOT,District Department of Transportation,Crash Details Table,DDOT,Public Safety,Level 0,,Database,,2433,Frequent Requests,"public safety, crash, accident",Daily,True
DDOT,District Department of Transportation,Speed Humps,DDOT,Transportation,Level 0,,Database,,2434,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Bicycle Count Locations,DDOT,Transportation,Level 0,,Database,,2435,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Bicycle Lanes,DDOT,Transportation,Level 0,,Database,,2436,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Bike Trails,DDOT,Transportation,Level 0,,Database,,2437,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Bridges and Tunnel Entrances,DDOT,Transportation,Level 0,,Database,,2438,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Bridge Polygons (DDOT),DDOT,Transportation,Level 0,,Database,,2439,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,2030 Proposed Bus Rapid Transit,DDOT,Transportation,Level 0,,Database,,2440,Frequent Requests,transportation,Static,True
DDOT,District Department of Transportation,Capital Bike Share Locations,DDOT,Transportation,Level 0,,Database,,2441,Frequent Requests,transportation,Static,True
DDOT,District Department of Transportation,Car Share Locations,DDOT,Transportation,Level 0,,Database,,2442,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Mobile Roadway Vending Location,DDOT,Public Services,Level 0,,Database,,2443,Frequent Requests,public Services,Yearly,True
DDOT,District Department of Transportation,Commuter Bus Locations,DDOT,Transportation,Level 0,,Database,,2444,Frequent Requests,transportation,Static,True
DDOT,District Department of Transportation,DC Circulator Stops,DDOT,Transportation,Level 0,,Database,,2445,Frequent Requests,"transportation, bus stops, Circulator",Yearly,True
DDOT,District Department of Transportation,Street Car Lines,DDOT,Transportation,Level 0,,Database,,2446,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Street Car Stops,DDOT,Transportation,Level 0,,Database,,2447,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Street Segments,DDOT,Transportation,Level 0,,Database,,2448,Frequent Requests,transportation,Yearly,True
DDOT,District Department of Transportation,Project Line WorkType,DDOT,Transportation,Level 0,Not yet requested by public or government entities.,Database,,1953,No Requests,"transportation, projects, tracking, funding, enterprise, planning, design, management",Real-Time/Near Real-Time,False
DDOT,District Department of Transportation,Project Point WorkType,DDOT,Transportation,Level 0,Not yet requested by public or government entities.,Database,,1954,No Requests,"transportation, projects, tracking, funding, enterprise, planning, design, management",Real-Time/Near Real-Time,False
DDOT,District Department of Transportation,Project Polygon WorkType,DDOT,Transportation,Level 0,Not yet requested by public or government entities.,Database,,1955,No Requests,"transportation, projects, tracking, funding, enterprise, planning, design, management",Real-Time/Near Real-Time,False
